Species,L1CODE,pts_no,total_no,perc,L1NAME
Crypturellus atrocapillus,18,155,280,0.554,central andes
Crypturellus atrocapillus,20,125,280,0.446,amazonian-orinocan lowland
Crypturellus bartletti,17,3,323,0.009,northern andes
Crypturellus bartletti,18,29,323,0.09,central andes
Crypturellus bartletti,20,291,323,0.901,amazonian-orinocan lowland
Crypturellus berlepschi,17,95,104,0.913,northern andes
Crypturellus berlepschi,NA,9,104,0.087,NA
Crypturellus boucardi,13,37,967,0.038,temperate sierras
Crypturellus boucardi,14,5,967,0.005,tropical dry forests
Crypturellus boucardi,15,915,967,0.946,tropical wet forests
Crypturellus boucardi,NA,10,967,0.01,NA
Crypturellus brevirostris,15,1,22,0.045,tropical wet forests
Crypturellus brevirostris,20,19,22,0.864,amazonian-orinocan lowland
Crypturellus brevirostris,21,2,22,0.091,eastern highlands
Crypturellus casiquiare,20,13,13,1,amazonian-orinocan lowland
Crypturellus cinereus,17,289,2817,0.103,northern andes
Crypturellus cinereus,18,234,2817,0.083,central andes
Crypturellus cinereus,20,2167,2817,0.769,amazonian-orinocan lowland
Crypturellus cinereus,21,126,2817,0.045,eastern highlands
Crypturellus cinereus,NA,1,2817,0,NA
Crypturellus cinnamomeus,10,1,2588,0,north american deserts
Crypturellus cinnamomeus,13,323,2588,0.125,temperate sierras
Crypturellus cinnamomeus,14,237,2588,0.092,tropical dry forests
Crypturellus cinnamomeus,15,1989,2588,0.769,tropical wet forests
Crypturellus cinnamomeus,17,1,2588,0,northern andes
Crypturellus cinnamomeus,20,1,2588,0,amazonian-orinocan lowland
Crypturellus cinnamomeus,9,18,2588,0.007,great plains
Crypturellus cinnamomeus,NA,18,2588,0.007,NA
Crypturellus duidae,20,88,89,0.989,amazonian-orinocan lowland
Crypturellus duidae,21,1,89,0.011,eastern highlands
Crypturellus erythropus,17,132,254,0.52,northern andes
Crypturellus erythropus,20,105,254,0.413,amazonian-orinocan lowland
Crypturellus erythropus,21,14,254,0.055,eastern highlands
Crypturellus erythropus,NA,3,254,0.012,NA
Crypturellus kerriae,17,34,41,0.829,northern andes
Crypturellus kerriae,NA,7,41,0.171,NA
Crypturellus noctivagus,20,1,326,0.003,amazonian-orinocan lowland
Crypturellus noctivagus,21,324,326,0.994,eastern highlands
Crypturellus noctivagus,NA,1,326,0.003,NA
Crypturellus obsoletus,17,60,2815,0.021,northern andes
Crypturellus obsoletus,18,434,2815,0.154,central andes
Crypturellus obsoletus,20,100,2815,0.036,amazonian-orinocan lowland
Crypturellus obsoletus,21,2151,2815,0.764,eastern highlands
Crypturellus obsoletus,22,5,2815,0.002,gran chaco
Crypturellus obsoletus,23,53,2815,0.019,pampas
Crypturellus obsoletus,NA,12,2815,0.004,NA
Crypturellus parvirostris,18,21,2997,0.007,central andes
Crypturellus parvirostris,20,366,2997,0.122,amazonian-orinocan lowland
Crypturellus parvirostris,21,2472,2997,0.825,eastern highlands
