species ,max (hz),min(hz),emf(hz),band(hz),R ,G ,B 
Crypturellus_atrocapillus,2090,1160,930,1127,,,
Crypturellus_bartletti,1889,1270,619,1530,193,191,215
Crypturellus_berlepschi,1500,1340,160,1409,,,
Crypturellus_boucardi,815,680,135,779,,,
Crypturellus_brevirostris,,,,,,,
Crypturellus_casiquiare,1800,1390,410,1657,,,
Crypturellus_cinereus,1950,1600,350,1762,244,155,147
Crypturellus_cinnamomeus,1440,1210,230,1315,139,110,89
Crypturellus_duidae,,,,,,,
Crypturellus_erythropus,1190,950,240,1121,180,180,218
Crypturellus_kerriae,1250,1040,210,1094,,,
Crypturellus_noctivagus,1310,1060,250,1188,63,187,166
Crypturellus_obsoletus,2960,1450,1510,2033,249,181,202
Crypturellus_parvirostris,2800,1290,1510,2069,176,161,186
Crypturellus_ptaritepui,,,,,,,
Crypturellus_soui,2230,1750,480,2016,180,163,199
Crypturellus_strigulosus,1440,1210,230,1348,,,
Crypturellus_tataupa,2710,1400,1310,2234,178,165,208
Crypturellus_transfasciatus,2780,1190,1590,1252,201,185,196
Crypturellus_undulatus,1360,1060,300,1248,228,205,223
Crypturellus_variegatus,1780,1440,340,1503,230,138,177
Eudromia_elegans,1700,1460,240,1591,156,176,43
Eudromia_formosa,1730,1530,200,1657,141,156,53
Nothocercus_bonapartei,1590,1180,410,1468,81,207,219
Nothocercus_julius,2397,1330,1067,2202,,,
Nothocercus_nigrocapillus,2352,1400,952,2912,1,231,231
Nothoprocta_cinerascens,2830,2080,750,2507,133,121,97
Nothoprocta_curvirostris,,,,,217,177,187
Nothoprocta_kalinowskii,,,,,,,
Nothoprocta_ornata,4420,2870,1550,3515,224,164,176
Nothoprocta_pentlandii,4990,1990,2610,2610,162,120,121
Nothoprocta_perdicaria,4990,2540,2540,2659,127,118,155
Nothoprocta_taczanowskii,,,,,,,
Nothura_boraquira,2960,2420,540,2692,143,124,156
Nothura_chacoensis,,,,,,,
Nothura_darwinii,2600,2070,530,2289,142,108,73
Nothura_maculosa,2564,1999,565,2373,130,106,130
Nothura_minor,3578,2858,720,3374,158,125,101
Rhynchotus_maculicollis,3200,1500,1700,2144,,,
Rhynchotus_rufescens,3100,1900,1200,2287,202,155,163
Taoniscus_nanus,,,,,,,
Tinamotis_ingoufi,1880,1210,670,1718,,,
Tinamotis_pentlandii,1990,1130,860,1306,211,215,104
Tinamus_guttatus,1130,930,200,1061,18,232,233
Tinamus_major,1500,1160,340,1315,97,214,172
Tinamus_osgoodi,1190,930,260,1033,110,162,173
Tinamus_solitarius,1500,1130,370,1342,83,230,212
Tinamus_tao,1520,1160,360,1248,98,198,186
