species,habitat,max_hz,min_hz,emf_hz,band_hz
Tinamotis_pentlandii,open,1990,1130,860,1306
Tinamotis_ingoufi,open,1880,1210,670,1718
Eudromia_formosa,mixed,1730,1530,200,1657
Eudromia_elegans,mixed,1700,1460,240,1591
Rhynchotus_rufescens,mixed,3100,1900,1200,2287
Rhynchotus_maculicollis,mixed,3200,1500,1700,2144
Taoniscus_nanus,mixed,?,?,?,?
Nothura_boraquira,mixed,2960,2420,540,2692
Nothura_minor,open,3578,2858,720,3374
Nothura_darwinii,open,2600,2070,530,2289
Nothura_chacoensis,mixed,?,?,?,?
Nothura_maculosa,open,2564,1999,565,2373
Nothoprocta_cinerascens,mixed,2830,2080,750,2507
Nothoprocta_ornata,open,4420,2870,1550,3515
Nothoprocta_kalinowskii,mixed,?,?,?,?
Nothoprocta_pentlandii,open,4990,1990,2610,2610
Nothoprocta_taczanowskii,mixed,?,?,?,?
Nothoprocta_curvirostris,open,?,?,?,?
Nothoprocta_perdicaria,open,4990,2540,2540,2659
Nothocercus_julius,closed,2397,1330,1067,2202
Nothocercus_nigrocapillus,closed,2352,1400,952,2912
Nothocercus_bonapartei,closed,1590,1180,410,1468
Tinamus_guttatus,closed,1130,930,200,1061
Tinamus_major,closed,1500,1160,340,1315
Tinamus_osgoodi,closed,1190,930,260,1033
Tinamus_solitarius,closed,1500,1130,370,1342
Tinamus_tao,closed,1520,1160,360,1248
Crypturellus_kerriae,closed,1250,1040,210,1094
Crypturellus_obsoletus,closed,2960,1450,1510,2033
Crypturellus_tataupa,closed,2710,1400,1310,2234
Crypturellus_parvirostris,mixed,2800,1290,1510,2069
Crypturellus_ptaritepui,closed,?,?,?,?
Crypturellus_cinereus,closed,1950,1600,350,1762
Crypturellus_berlepschi,closed,1500,1340,160,1409
Crypturellus_boucardi,closed,815,680,135,779
Crypturellus_strigulosus,closed,1440,1210,230,1348
Crypturellus_undulatus,closed,1360,1060,300,1248
Crypturellus_cinnamomeus,closed,1440,1210,230,1315
Crypturellus_tranfasciatus,closed,2780,1190,1590,1252
Crypturellus_soui,closed,2230,1750,480,2016
Crypturellus_atrocapillus,closed,2090,1160,930,1127
Crypturellus_duidae,closed,?,?,?,?
Crypturellus_erythropus,closed,1190,950,240,1121
Crypturellus_noctivagus,closed,1310,1060,250,1188
Crypturellus_variegatus,closed,1780,1440,340,1503
Crypturellus_casiquiare,closed,1800,1390,410,1657
Crypturellus_bartletti,closed,1889,1270,619,1530
Crypturellus_brevirostris,closed,?,?,?,?
